Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84
T004-B1BALCells-PB-miRNA_S1_R1_001	31.1655607384	31.4590647334	31.5618432707	31.6170948634	31.6420631184	35.2131188171	35.1882434257	35.1712463904	35.1730290015	35.1825391451	35.167740627	35.1377910654	35.1303983901	35.1158154397	35.0974098583	35.0639104491	35.0286583831	34.9546985127	34.9175786537	34.8643993551	34.8044706977	34.7779260718	34.7418297217	34.699600619	34.6702991949	34.6427766367	34.5810642922	34.5182939814	34.3899302387	34.3241501601	34.2873783107	34.2392364506	34.151589742	34.0419407376	33.9069707793	33.8469962186	33.765577575	33.6722632739	33.5797147424	33.5341313209	33.4594341846	33.4147122766	33.3217715583	33.257855972	33.1316725608	33.0856558076	31.9798288595
T004-B2BCGBAL-PB-miRNA_S11_R1_001	31.3259583153	31.5445259947	31.6068033137	31.6495266661	31.6708508936	35.2660232201	35.2522945766	35.2489567065	35.2465410613	35.2589943221	35.2453303513	35.2156750206	35.2057004557	35.1892857569	35.1725856368	35.1329432606	35.1005415818	35.0351618234	34.9963268932	34.9472007264	34.9042601492	34.8726862074	34.838306574	34.794146739	34.7619454835	34.7379935595	34.6852743756	34.6227873604	34.4997854427	34.4361304487	34.3972026327	34.352377013	34.2777557947	34.1762595376	34.0453792755	33.9860218225	33.9086228018	33.8317205076	33.7439015266	33.7039822969	33.6204512917	33.5710981614	33.493197134	33.4504941946	33.3193938398	33.2540880361	32.1932550987
T004-B2PPDBAL-PB-miRNA_S10_R1_001	30.9533999329	31.3433472282	31.4906221842	31.5595827039	31.5993836575	35.1398035174	35.1219319453	35.1190635844	35.1086370045	35.1254453828	35.1127319307	35.0783351539	35.0700898184	35.0445889176	35.021473757	34.9756920313	34.932989037	34.8495375135	34.7957006695	34.7325849083	34.6806057372	34.6358243863	34.5893107057	34.5304130301	34.4876949877	34.4520243479	34.3864403756	34.3120543758	34.1676272787	34.0933693858	34.0394147039	33.981826372	33.8950777812	33.7766345798	33.6310139526	33.5578809414	33.4610087107	33.3775641275	33.2762970546	33.2250568417	33.1351490401	33.071913795	32.9785444889	32.9257337363	32.7846246305	32.7065271012	31.6754784866
T004-B2SalBAL-PB-miRNA_S9_R1_001	31.1038577426	31.4224753151	31.5470495012	31.6160856431	31.6530883698	35.2392175762	35.2176419382	35.1975385716	35.193493196	35.2043830419	35.1954288517	35.1710304396	35.1651368823	35.1539887882	35.1355234836	35.1003929416	35.0650135324	34.9982249273	34.9598807925	34.9114417651	34.8417210208	34.8265832786	34.7931482789	34.7540042326	34.7285899154	34.701959573	34.6456126226	34.580489522	34.4555307736	34.3944380533	34.3589933022	34.314086518	34.2383761665	34.1312790965	33.9962868227	33.9430107949	33.8560379832	33.7655650072	33.6894811105	33.6437495114	33.5723923876	33.5285635684	33.4425530915	33.3632283478	33.2429133107	33.2229296875	32.1193309679
T006-B1BALCells-PBmiRNA_S2_R1_001	31.0932448653	31.4206038509	31.5435031669	31.6149375911	31.6533351193	35.2463204323	35.2207289513	35.2007014632	35.1941299832	35.204802784	35.1991595015	35.1751844316	35.172152359	35.1618454905	35.143912836	35.1091598808	35.0737468388	35.0047248464	34.9665012293	34.916226669	34.843029793	34.8283566874	34.793718975	34.7543831807	34.7334115044	34.7036694473	34.6461100392	34.5792202334	34.4569051421	34.3956227551	34.3582652986	34.3107764015	34.2344092987	34.1232611984	33.9913284649	33.9406107271	33.8453901519	33.7560075773	33.6852008559	33.630820734	33.5626512863	33.5201478005	33.431000983	33.3529140784	33.2350028238	33.2220769314	32.1323980572
T006-B2BCGBAL-PBmiRNA_S13_R1_001	31.1941364212	31.4677877945	31.5726427785	31.6286896102	31.656421078	35.2483633974	35.2266999168	35.1874481989	35.2027348994	35.2087799097	35.1933089438	35.1648030735	35.1519313715	35.1499294408	35.1297211858	35.0967016988	35.069762275	35.0061467028	34.9757903096	34.9275637828	34.8339864838	34.8313233356	34.8058068802	34.7809029446	34.7680581119	34.7388935141	34.6927627871	34.6168995877	34.4986372845	34.446471824	34.4108276511	34.3851823549	34.3006714077	34.1901347997	34.0541905882	34.0056952888	33.9356730967	33.8229184238	33.7541998429	33.7131763306	33.6444744257	33.6336994655	33.537612182	33.4197494639	33.3262068221	33.3433438166	32.1367466641
T006-B2PPDBAL-PLmiRNA_S15_R1_001	31.3027029963	31.5154196512	31.5901998534	31.6389481978	31.6630733177	35.2605859115	35.2387858872	35.221073763	35.2231089726	35.2344567277	35.2223318526	35.1938253379	35.1826431942	35.1745112692	35.1539343528	35.114911717	35.0832319494	35.0134021154	34.9778072487	34.9319392274	34.8727874132	34.8511118091	34.8189088928	34.779748634	34.7507627153	34.72554941	34.6719427982	34.6015257209	34.4793380364	34.4172261756	34.3811301447	34.3386345279	34.2589603692	34.1530750119	34.0206639145	33.9716145471	33.8904627135	33.8038890645	33.7188264981	33.6777764938	33.5959668924	33.5546247707	33.4714713356	33.3976483871	33.2725809445	33.2427898449	32.1103286868
T006-B2SalBAL-PBmiRNA_S12_R1_001	31.133172851	31.4293927164	31.5460314241	31.6141923636	31.6498670615	35.2403059309	35.220484282	35.2005063969	35.1955306221	35.2056434581	35.2014246413	35.1763348498	35.1724433781	35.1595093535	35.1411972097	35.1050064549	35.0710528854	35.0022591389	34.9687199657	34.920958522	34.8599838786	34.8420640782	34.8080484127	34.7685355815	34.7451235931	34.7214063833	34.6659298844	34.6015533827	34.4811213798	34.418920662	34.383114861	34.3326073049	34.2582892142	34.1517848543	34.0255941594	33.9741037221	33.8880856027	33.8051465648	33.7254185156	33.6786196337	33.6065811522	33.5598613526	33.4741419335	33.3978262074	33.2765885871	33.2546324518	32.1817001956
T006-B2TSTBAL-PBmiRNA_S14_R1_001	31.2928216901	31.5264114225	31.5995081738	31.6455571357	31.6720773294	35.2643353667	35.2476520962	35.2271236781	35.2354299561	35.2473119359	35.2331638839	35.2052382329	35.1940424024	35.1842986089	35.1669427897	35.1315227408	35.1015792605	35.037516908	35.0027231902	34.9566824906	34.9001679749	34.8790361951	34.8484168547	34.80928652	34.782675499	34.7591431959	34.7089477925	34.6441413727	34.5256901298	34.4682000227	34.4304511926	34.3898934892	34.3130552527	34.2133674684	34.0804202187	34.0228194149	33.9485023673	33.8548836423	33.7727908263	33.73577252	33.6654655161	33.6290284679	33.5446979375	33.4711821994	33.3545795111	33.3198555169	32.211529174
